Edad,lx,dx,px,qx,Dx,Nx,Cx,Mx
15,"10,000,000","17,810",0.001781,0.998219,"$5,167,204.40","$105,819,721.60","$8,806.50","$610,374.80"
16,"9,982,190","17,958",0.001799,0.998201,"$4,935,886.70","$100,652,517.20","$8,497.30","$601,568.30"
17,"9,964,232","18,125",0.001819,0.998181,"$4,714,839.30","$95,716,630.40","$8,207.00","$593,071.00"
18,"9,946,107","18,311",0.001841,0.998159,"$4,503,600.90","$91,001,791.20","$7,934.20","$584,864.00"
19,"9,927,796","18,525",0.001866,0.998134,"$4,301,731.80","$86,498,190.20","$7,681.30","$576,929.80"
20,"9,909,271","18,758",0.001893,0.998107,"$4,108,808.50","$82,196,458.50","$7,442.90","$569,248.60"
21,"9,890,513","19,019",0.001923,0.998077,"$3,924,431.20","$78,087,650.00","$7,221.50","$561,805.60"
22,"9,871,494","19,319",0.001957,0.998043,"$3,748,215.00","$74,163,218.80","$7,019.60","$554,584.10"
23,"9,852,175","19,645",0.001994,0.998006,"$3,579,789.10","$70,415,003.80","$6,830.60","$547,564.60"
24,"9,832,530","20,009",0.002035,0.997965,"$3,418,804.80","$66,835,214.70","$6,657.60","$540,733.90"
25,"9,812,521","20,410",0.00208,0.99792,"$3,264,926.00","$63,416,409.90","$6,498.60","$534,076.30"
26,"9,792,111","20,867",0.002131,0.997869,"$3,117,832.50","$60,151,483.90","$6,358.00","$527,577.70"
27,"9,771,244","21,370",0.002187,0.997813,"$2,977,213.80","$57,033,651.50","$6,230.90","$521,219.70"
28,"9,749,874","21,927",0.002249,0.997751,"$2,842,777.50","$54,056,437.70","$6,118.00","$514,988.90"
29,"9,727,947","22,549",0.002318,0.997682,"$2,714,243.30","$51,213,660.20","$6,020.60","$508,870.90"
30,"9,705,398","23,244",0.002395,0.997605,"$2,591,341.40","$48,499,416.90","$5,938.90","$502,850.30"
31,"9,682,154","24,012",0.00248,0.99752,"$2,473,813.70","$45,908,075.50","$5,870.90","$496,911.40"
